Customer ID,Customer Name,FirstOrder,LastOrder,OrderCount,TotalSales,AvgOrderValue,FirstOrderMonth,LastOrderMonth,DaysSinceLastOrder,RepeatCustomer,FirstOrderYearMonth,SortMonth
JL-15235,Janet Lee,"Monday, 25 May 2015","Sunday, 2 September 2018",10,2203.7,220.37,May 2015,Sep 2018,2658,Repeat Buyer,01/05/2015 12:00:00 AM,201505
DB-13660,Duane Benoit,"Wednesday, 17 June 2015","Tuesday, 18 December 2018",10,1155.202,115.5202,Jun 2015,Dec 2018,2551,Repeat Buyer,01/06/2015 12:00:00 AM,201506
BW-11200,Ben Wallace,"Wednesday, 12 August 2015","Sunday, 10 June 2018",10,1738.406,173.8406,Aug 2015,Jun 2018,2742,Repeat Buyer,01/08/2015 12:00:00 AM,201508
SW-20245,Scot Wooten,"Monday, 20 July 2015","Wednesday, 10 October 2018",10,1085.078,108.5078,Jul 2015,Oct 2018,2620,Repeat Buyer,01/07/2015 12:00:00 AM,201507
PB-18805,Patrick Bzostek,"Sunday, 20 November 2016","Wednesday, 5 December 2018",10,740.356,74.0356,Nov 2016,Dec 2018,2564,Repeat Buyer,01/11/2016 12:00:00 AM,201611
BF-11005,Barry Franz,"Friday, 25 September 2015","Wednesday, 21 November 2018",10,1333.88,133.388,Sep 2015,Nov 2018,2578,Repeat Buyer,01/09/2015 12:00:00 AM,201509
TP-21415,Tom Prescott,"Monday, 28 November 2016","Monday, 17 September 2018",10,5329.0048,532.90048,Nov 2016,Sep 2018,2643,Repeat Buyer,01/11/2016 12:00:00 AM,201611
BM-11575,Brendan Murry,"Thursday, 15 September 2016","Friday, 21 September 2018",10,808.162,80.8162,Sep 2016,Sep 2018,2639,Repeat Buyer,01/09/2016 12:00:00 AM,201609
TA-21385,Tom Ashbrook,"Saturday, 12 September 2015","Monday, 22 October 2018",10,14595.62,1459.562,Sep 2015,Oct 2018,2608,Repeat Buyer,01/09/2015 12:00:00 AM,201509
NL-18310,Nancy Lomonaco,"Saturday, 31 October 2015","Friday, 2 November 2018",10,1418.09,141.809,Oct 2015,Nov 2018,2597,Repeat Buyer,01/10/2015 12:00:00 AM,201510
RR-19525,Rick Reed,"Wednesday, 9 September 2015","Friday, 13 July 2018",10,3302.262,330.2262,Sep 2015,Jul 2018,2709,Repeat Buyer,01/09/2015 12:00:00 AM,201509
GA-14515,George Ashbrook,"Sunday, 17 April 2016","Friday, 3 August 2018",10,3797.232,379.7232,Apr 2016,Aug 2018,2688,Repeat Buyer,01/04/2016 12:00:00 AM,201604
MH-18025,Michelle Huthwaite,"Wednesday, 8 July 2015","Sunday, 11 November 2018",10,2984.948,298.4948,Jul 2015,Nov 2018,2588,Repeat Buyer,01/07/2015 12:00:00 AM,201507
CA-11965,Carol Adams,"Monday, 26 January 2015","Tuesday, 25 September 2018",10,3789.7228,378.97228,Jan 2015,Sep 2018,2635,Repeat Buyer,01/01/2015 12:00:00 AM,201501
HG-14845,Harry Greene,"Wednesday, 29 April 2015","Tuesday, 6 November 2018",10,785.628,78.5628,Apr 2015,Nov 2018,2593,Repeat Buyer,01/04/2015 12:00:00 AM,201504
AY-10555,Andy Yotov,"Monday, 6 April 2015","Sunday, 16 December 2018",10,497.014,49.7014,Apr 2015,Dec 2018,2553,Repeat Buyer,01/04/2015 12:00:00 AM,201504
SJ-20215,Sarah Jordon,"Tuesday, 9 February 2016","Saturday, 1 December 2018",10,1341.036,134.1036,Feb 2016,Dec 2018,2568,Repeat Buyer,01/02/2016 12:00:00 AM,201602
CM-11815,Candace McMahon,"Saturday, 14 November 2015","Tuesday, 21 August 2018",10,1673.888,167.3888,Nov 2015,Aug 2018,2670,Repeat Buyer,01/11/2015 12:00:00 AM,201511
RD-19930,Russell D'Ascenzo,"Saturday, 3 October 2015","Sunday, 18 November 2018",10,970.942,97.0942,Oct 2015,Nov 2018,2581,Repeat Buyer,01/10/2015 12:00:00 AM,201510
FC-14335,Fred Chung,"Saturday, 10 October 2015","Friday, 29 June 2018",10,3889.366,388.9366,Oct 2015,Jun 2018,2723,Repeat Buyer,01/10/2015 12:00:00 AM,201510
DB-12970,Darren Budd,"Thursday, 12 November 2015","Thursday, 3 May 2018",10,2469.6672,246.96672,Nov 2015,May 2018,2780,Repeat Buyer,01/11/2015 12:00:00 AM,201511
TP-21565,Tracy Poddar,"Tuesday, 1 March 2016","Sunday, 14 January 2018",10,1936.64,193.664,Mar 2016,Jan 2018,2889,Repeat Buyer,01/03/2016 12:00:00 AM,201603
DM-13525,Don Miller,"Sunday, 5 July 2015","Tuesday, 5 September 2017",10,1376.792,137.6792,Jul 2015,Sep 2017,3020,Repeat Buyer,01/07/2015 12:00:00 AM,201507
MH-17290,Marc Harrigan,"Sunday, 26 April 2015","Sunday, 11 March 2018",10,1691.505,169.1505,Apr 2015,Mar 2018,2833,Repeat Buyer,01/04/2015 12:00:00 AM,201504
CG-12520,Claire Gute,"Saturday, 15 October 2016","Friday, 26 January 2018",5,1148.78,229.756,Oct 2016,Jan 2018,2877,Repeat Buyer,01/10/2016 12:00:00 AM,201610
DV-13045,Darrin Van Huff,"Monday, 12 June 2017","Tuesday, 11 December 2018",9,1119.483,124.387,Jun 2017,Dec 2018,2558,Repeat Buyer,01/06/2017 12:00:00 AM,201706
SO-20335,Sean O'Donnell,"Tuesday, 11 October 2016","Saturday, 1 December 2018",15,2602.5755,173.5050333,Oct 2016,Dec 2018,2568,Repeat Buyer,01/10/2016 12:00:00 AM,201610
BH-11710,Brosina Hoffman,"Tuesday, 9 June 2015","Friday, 7 December 2018",24,6255.351,260.639625,Jun 2015,Dec 2018,2562,Repeat Buyer,01/06/2015 12:00:00 AM,201506
AA-10480,Andrew Allen,"Monday, 4 May 2015","Sunday, 15 April 2018",12,1790.512,149.2093333,May 2015,Apr 2018,2798,Repeat Buyer,01/05/2015 12:00:00 AM,201505
IM-15070,Irene Maddox,"Saturday, 19 December 2015","Tuesday, 5 December 2017",21,4930.474,234.7844762,Dec 2015,Dec 2017,2929,Repeat Buyer,01/12/2015 12:00:00 AM,201512
PK-19075,Pete Kriz,"Wednesday, 11 November 2015","Friday, 21 December 2018",25,8646.934,345.87736,Nov 2015,Dec 2018,2548,Repeat Buyer,01/11/2015 12:00:00 AM,201511
AG-10270,Alejandro Grove,"Wednesday, 13 May 2015","Tuesday, 27 March 2018",14,2582.898,184.4927143,May 2015,Mar 2018,2817,Repeat Buyer,01/05/2015 12:00:00 AM,201505
ZD-21925,Zuschuss Donatelli,"Thursday, 27 August 2015","Monday, 11 June 2018",9,1493.944,165.9937778,Aug 2015,Jun 2018,2741,Repeat Buyer,01/08/2015 12:00:00 AM,201508
KB-16585,Ken Black,"Saturday, 4 April 2015","Monday, 14 May 2018",23,2744.742,119.3366087,Apr 2015,May 2018,2769,Repeat Buyer,01/04/2015 12:00:00 AM,201504
SF-20065,Sandra Flanagan,"Thursday, 10 September 2015","Thursday, 1 November 2018",9,763.546,84.83844444,Sep 2015,Nov 2018,2598,Repeat Buyer,01/09/2015 12:00:00 AM,201509
EB-13870,Emily Burns,"Tuesday, 5 May 2015","Friday, 21 September 2018",11,2767.219,251.5653636,May 2015,Sep 2018,2639,Repeat Buyer,01/05/2015 12:00:00 AM,201505
EH-13945,Eric Hoffmann,"Thursday, 2 July 2015","Sunday, 27 May 2018",17,684.171,40.24535294,Jul 2015,May 2018,2756,Repeat Buyer,01/07/2015 12:00:00 AM,201507
TB-21520,Tracy Blumstein,"Saturday, 17 October 2015","Friday, 14 September 2018",20,4737.486,236.8743,Oct 2015,Sep 2018,2646,Repeat Buyer,01/10/2015 12:00:00 AM,201510
MA-17560,Matt Abelman,"Saturday, 8 August 2015","Saturday, 27 October 2018",34,4299.161,126.4459118,Aug 2015,Oct 2018,2603,Repeat Buyer,01/08/2015 12:00:00 AM,201508
GH-14485,Gene Hale,"Saturday, 8 October 2016","Friday, 8 December 2017",3,1361.244,453.748,Oct 2016,Dec 2017,2926,Repeat Buyer,01/10/2016 12:00:00 AM,201610
SN-20710,Steve Nguyen,"Wednesday, 6 May 2015","Friday, 12 October 2018",19,3127.9592,164.6294316,May 2015,Oct 2018,2618,Repeat Buyer,01/05/2015 12:00:00 AM,201505
LC-16930,Linda Cazamias,"Friday, 20 February 2015","Monday, 19 November 2018",14,4492.946,320.9247143,Feb 2015,Nov 2018,2580,Repeat Buyer,01/02/2015 12:00:00 AM,201502
RA-19885,Ruben Ausman,"Wednesday, 8 April 2015","Monday, 5 November 2018",13,3546.224,272.7864615,Apr 2015,Nov 2018,2594,Repeat Buyer,01/04/2015 12:00:00 AM,201504
ES-14080,Erin Smith,"Friday, 2 October 2015","Sunday, 2 December 2018",20,4657.924,232.8962,Oct 2015,Dec 2018,2567,Repeat Buyer,01/10/2015 12:00:00 AM,201510
ON-18715,Odella Nelson,"Sunday, 13 September 2015","Wednesday, 15 November 2017",15,1567.52,104.5013333,Sep 2015,Nov 2017,2949,Repeat Buyer,01/09/2015 12:00:00 AM,201509
PO-18865,Patrick O'Donnell,"Monday, 23 March 2015","Sunday, 30 December 2018",13,2493.214,191.7856923,Mar 2015,Dec 2018,2539,Repeat Buyer,01/03/2015 12:00:00 AM,201503
LH-16900,Lena Hernandez,"Wednesday, 19 August 2015","Sunday, 9 December 2018",15,2295.332,153.0221333,Aug 2015,Dec 2018,2560,Repeat Buyer,01/08/2015 12:00:00 AM,201508
DP-13000,Darren Powers,"Saturday, 3 January 2015","Sunday, 26 August 2018",15,897.524,59.83493333,Jan 2015,Aug 2018,2665,Repeat Buyer,01/01/2015 12:00:00 AM,201501
JM-15265,Janet Molinari,"Tuesday, 25 August 2015","Friday, 23 November 2018",13,1804.146,138.7804615,Aug 2015,Nov 2018,2576,Repeat Buyer,01/08/2015 12:00:00 AM,201508
TB-21055,Ted Butterfield,"Saturday, 17 June 2017","Sunday, 2 September 2018",17,1451.361,85.37417647,Jun 2017,Sep 2018,2658,Repeat Buyer,01/06/2017 12:00:00 AM,201706
KM-16720,Kunst Miller,"Monday, 30 March 2015","Sunday, 2 December 2018",28,4909.472,175.3382857,Mar 2015,Dec 2018,2567,Repeat Buyer,01/03/2015 12:00:00 AM,201503
PS-18970,Paul Stevenson,"Wednesday, 15 April 2015","Monday, 22 October 2018",13,1278.639,98.35684615,Apr 2015,Oct 2018,2608,Repeat Buyer,01/04/2015 12:00:00 AM,201504
KD-16270,Karen Daniels,"Wednesday, 11 November 2015","Saturday, 2 September 2017",16,8282.358,517.647375,Nov 2015,Sep 2017,3023,Repeat Buyer,01/11/2015 12:00:00 AM,201511
HM-14980,Henry MacAllister,"Sunday, 2 October 2016","Friday, 27 April 2018",7,736.276,105.1822857,Oct 2016,Apr 2018,2786,Repeat Buyer,01/10/2016 12:00:00 AM,201610
JE-15745,Joel Eaton,"Monday, 22 June 2015","Friday, 9 November 2018",23,6760.815,293.9484783,Jun 2015,Nov 2018,2590,Repeat Buyer,01/06/2015 12:00:00 AM,201506
KB-16600,Ken Brennan,"Wednesday, 30 December 2015","Saturday, 29 December 2018",9,983.922,109.3246667,Dec 2015,Dec 2018,2540,Repeat Buyer,01/12/2015 12:00:00 AM,201512
SC-20770,Stewart Carmichael,"Monday, 20 June 2016","Monday, 19 November 2018",21,4492.657,213.9360476,Jun 2016,Nov 2018,2580,Repeat Buyer,01/06/2016 12:00:00 AM,201606
DN-13690,Duane Noonan,"Sunday, 20 September 2015","Sunday, 27 May 2018",11,2139.79,194.5263636,Sep 2015,May 2018,2756,Repeat Buyer,01/09/2015 12:00:00 AM,201509
JC-16105,Julie Creighton,"Wednesday, 18 November 2015","Saturday, 3 November 2018",9,858.576,95.39733333,Nov 2015,Nov 2018,2596,Repeat Buyer,01/11/2015 12:00:00 AM,201511
CS-12400,Christopher Schild,"Saturday, 26 September 2015","Friday, 28 December 2018",14,3651.8585,260.8470357,Sep 2015,Dec 2018,2541,Repeat Buyer,01/09/2015 12:00:00 AM,201509
PG-18895,Paul Gonzalez,"Monday, 11 May 2015","Saturday, 3 November 2018",17,1987.164,116.892,May 2015,Nov 2018,2596,Repeat Buyer,01/05/2015 12:00:00 AM,201505
GM-14455,Gary Mitchum,"Saturday, 11 April 2015","Friday, 14 December 2018",12,3078.624,256.552,Apr 2015,Dec 2018,2555,Repeat Buyer,01/04/2015 12:00:00 AM,201504
JS-15685,Jim Sink,"Wednesday, 14 June 2017","Sunday, 18 November 2018",9,990.196,110.0217778,Jun 2017,Nov 2018,2581,Repeat Buyer,01/06/2017 12:00:00 AM,201706
KB-16315,Karl Braun,"Wednesday, 26 August 2015","Friday, 9 March 2018",22,1569.464,71.33927273,Aug 2015,Mar 2018,2835,Repeat Buyer,01/08/2015 12:00:00 AM,201508
RB-19705,Roger Barcio,"Monday, 22 August 2016","Tuesday, 6 November 2018",7,2067.45,295.35,Aug 2016,Nov 2018,2593,Repeat Buyer,01/08/2016 12:00:00 AM,201608
PN-18775,Parhena Norris,"Sunday, 7 August 2016","Friday, 30 November 2018",13,1467.152,112.8578462,Aug 2016,Nov 2018,2569,Repeat Buyer,01/08/2016 12:00:00 AM,201608
ER-13855,Elpida Rittenbach,"Wednesday, 21 December 2016","Saturday, 4 November 2017",5,1245.788,249.1576,Dec 2016,Nov 2017,2960,Repeat Buyer,01/12/2016 12:00:00 AM,201612
RB-19465,Rick Bensley,"Saturday, 14 March 2015","Friday, 21 December 2018",23,4715.466,205.0202609,Mar 2015,Dec 2018,2548,Repeat Buyer,01/03/2015 12:00:00 AM,201503
GZ-14470,Gary Zandusky,"Wednesday, 5 August 2015","Sunday, 23 December 2018",14,4355.15,311.0821429,Aug 2015,Dec 2018,2546,Repeat Buyer,01/08/2015 12:00:00 AM,201508
LC-16870,Lena Cacioppo,"Tuesday, 3 May 2016","Monday, 3 December 2018",30,2580.704,86.02346667,May 2016,Dec 2018,2566,Repeat Buyer,01/05/2016 12:00:00 AM,201605
JM-15250,Janet Martin,"Wednesday, 29 March 2017","Friday, 23 November 2018",19,3159.122,166.2695789,Mar 2017,Nov 2018,2576,Repeat Buyer,01/03/2017 12:00:00 AM,201703
PA-19060,Pete Armstrong,"Sunday, 17 May 2015","Tuesday, 18 September 2018",7,729.408,104.2011429,May 2015,Sep 2018,2642,Repeat Buyer,01/05/2015 12:00:00 AM,201505
CV-12805,Cynthia Voltz,"Tuesday, 9 May 2017","Tuesday, 25 December 2018",19,2370.3136,124.7533474,May 2017,Dec 2018,2544,Repeat Buyer,01/05/2017 12:00:00 AM,201705
CL-12565,Clay Ludtke,"Wednesday, 4 March 2015","Wednesday, 21 March 2018",28,10880.546,388.5909286,Mar 2015,Mar 2018,2823,Repeat Buyer,01/03/2015 12:00:00 AM,201503
RC-19960,Ryan Crowe,"Tuesday, 25 August 2015","Tuesday, 11 September 2018",8,652.644,81.5805,Aug 2015,Sep 2018,2649,Repeat Buyer,01/08/2015 12:00:00 AM,201508
DK-13090,Dave Kipp,"Wednesday, 2 March 2016","Sunday, 18 November 2018",13,2650.557,203.889,Mar 2016,Nov 2018,2581,Repeat Buyer,01/03/2016 12:00:00 AM,201603
GG-14650,Greg Guthrie,"Saturday, 31 October 2015","Saturday, 17 November 2018",24,2224,92.66666667,Oct 2015,Nov 2018,2582,Repeat Buyer,01/10/2015 12:00:00 AM,201510
SC-20725,Steven Cartwright,"Wednesday, 3 June 2015","Tuesday, 26 June 2018",26,5226.21,201.0080769,Jun 2015,Jun 2018,2726,Repeat Buyer,01/06/2015 12:00:00 AM,201506
AD-10180,Alan Dominguez,"Thursday, 19 November 2015","Saturday, 1 December 2018",12,6106.88,508.9066667,Nov 2015,Dec 2018,2568,Repeat Buyer,01/11/2015 12:00:00 AM,201511
TS-21610,Troy Staebel,"Sunday, 16 August 2015","Monday, 5 November 2018",11,2820.424,256.4021818,Aug 2015,Nov 2018,2594,Repeat Buyer,01/08/2015 12:00:00 AM,201508
LS-16975,Lindsay Shagiari,"Tuesday, 20 October 2015","Monday, 10 December 2018",22,2988.674,135.8488182,Oct 2015,Dec 2018,2559,Repeat Buyer,01/10/2015 12:00:00 AM,201510
LC-16885,Lena Creighton,"Saturday, 25 April 2015","Friday, 14 December 2018",23,7663.126,333.1793913,Apr 2015,Dec 2018,2555,Repeat Buyer,01/04/2015 12:00:00 AM,201504
JD-15895,Jonathan Doherty,"Thursday, 26 March 2015","Friday, 1 December 2017",32,7610.864,237.8395,Mar 2015,Dec 2017,2933,Repeat Buyer,01/03/2015 12:00:00 AM,201503
SH-19975,Sally Hughsby,"Thursday, 10 December 2015","Saturday, 1 December 2018",24,2465.6595,102.7358125,Dec 2015,Dec 2018,2568,Repeat Buyer,01/12/2015 12:00:00 AM,201512
SG-20080,Sandra Glassco,"Monday, 31 October 2016","Saturday, 22 December 2018",11,3406.581,309.6891818,Oct 2016,Dec 2018,2547,Repeat Buyer,01/10/2016 12:00:00 AM,201610
HA-14920,Helen Andreada,"Sunday, 11 October 2015","Monday, 10 December 2018",18,2584.158,143.5643333,Oct 2015,Dec 2018,2559,Repeat Buyer,01/10/2015 12:00:00 AM,201510
JE-16165,Justin Ellison,"Tuesday, 5 December 2017","Monday, 10 December 2018",7,2697.248,385.3211429,Dec 2017,Dec 2018,2559,Repeat Buyer,01/12/2017 12:00:00 AM,201712
TW-21025,Tamara Willingham,"Tuesday, 22 December 2015","Saturday, 27 October 2018",12,5278.826,439.9021667,Dec 2015,Oct 2018,2603,Repeat Buyer,01/12/2015 12:00:00 AM,201512
SP-20650,Stephanie Phelps,"Thursday, 16 April 2015","Saturday, 9 December 2017",15,1872.436,124.8290667,Apr 2015,Dec 2017,2925,Repeat Buyer,01/04/2015 12:00:00 AM,201504
NK-18490,Neil Knudson,"Saturday, 28 May 2016","Sunday, 21 October 2018",11,572.048,52.00436364,May 2016,Oct 2018,2609,Repeat Buyer,01/05/2016 12:00:00 AM,201605
TT-21070,Ted Trevino,"Monday, 18 May 2015","Thursday, 29 November 2018",14,4915.602,351.1144286,May 2015,Nov 2018,2570,Repeat Buyer,01/05/2015 12:00:00 AM,201505
EM-13960,Eric Murdock,"Saturday, 1 October 2016","Wednesday, 1 August 2018",6,933.704,155.6173333,Oct 2016,Aug 2018,2690,Repeat Buyer,01/10/2016 12:00:00 AM,201610
RD-19900,Ruben Dartt,"Sunday, 5 April 2015","Friday, 7 September 2018",21,3133.924,149.2344762,Apr 2015,Sep 2018,2653,Repeat Buyer,01/04/2015 12:00:00 AM,201504
MJ-17740,Max Jones,"Thursday, 9 June 2016","Saturday, 8 December 2018",15,6320.746,421.3830667,Jun 2016,Dec 2018,2561,Repeat Buyer,01/06/2016 12:00:00 AM,201606
